"","Edad","Hombres","Mujeres"
"1","0 Años",1856,1848
"2","1 Año",1921,1886
"3","2 Años",2154,1988
"4","3 Años",2165,2157
"5","4 Años",2158,2165
"6","5 Años",2200,2162
"7","6 Años",2191,2194
"8","7 Años",2304,2158
"9","8 Años",2286,2149
"10","9 Años",2246,2178
"11","10 Años",2339,2151
"12","11 Años",2125,2044
"13","12 Años",2167,2121
"14","13 Años",2128,2088
"15","14 Años",2102,2047
"16","15 Años",2335,2361
"17","16 Años",2409,2226
"18","17 Años",2524,2451
"19","18 Años",2491,2308
"20","19 Años",2254,2247
"21","20 Años",2479,2447
"22","21 Años",2145,1935
"23","22 Años",2318,2189
"24","23 Años",2157,2050
"25","24 Años",1974,1975
"26","25 Años",2028,2000
"27","26 Años",1874,1945
"28","27 Años",1834,1831
"29","28 Años",1906,2035
"30","29 Años",1615,1688
"31","30 Años",2034,2222
"32","31 Años",1399,1551
"33","32 Años",1800,2104
"34","33 Años",1723,1886
"35","34 Años",1734,1973
"36","35 Años",1898,2140
"37","36 Años",1803,2065
"38","37 Años",1643,1837
"39","38 Años",1843,2019
"40","39 Años",1499,1675
"41","40 Años",1928,2048
"42","41 Años",1170,1274
"43","42 Años",1732,1886
"44","43 Años",1369,1528
"45","44 Años",1234,1302
"46","45 Años",1506,1671
"47","46 Años",1243,1475
"48","47 Años",1202,1288
"49","48 Años",1202,1355
"50","49 Años",1191,1236
"51","50 Años",1433,1636
"52","51 Años",879,970
"53","52 Años",1039,1263
"54","53 Años",971,991
"55","54 Años",921,1003
"56","55 Años",956,1069
"57","56 Años",880,924
"58","57 Años",671,765
"59","58 Años",706,764
"60","59 Años",646,692
"61","60 Años",853,874
"62","61 Años",438,471
"63","62 Años",605,706
"64","63 Años",591,637
"65","64 Años",533,587
"66","65 Años",568,598
"67","66 Años",391,426
"68","67 Años",378,414
"69","68 Años",372,443
"70","69 Años",330,406
"71","70 Años",408,512
"72","71 Años",235,220
"73","72 Años",319,369
"74","73 Años",257,308
"75","74 Años",266,304
"76","75 Años",236,285
"77","76 Años",212,232
"78","77 Años",173,166
"79","78 Años",218,232
"80","79 Años",121,161
"81","80 Años",196,200
"82","81 Años",84,101
"83","82 Años",116,129
"84","83 Años",100,126
"85","84 Años",96,161
"86","85 Años",110,142
"87","86 Años",95,91
"88","87 Años",66,110
"89","88 Años",58,73
"90","89 Años",48,55
"91","90 Años",46,59
"92","91 Años",12,24
"93","92 Años",20,38
"94","93 Años",18,27
"95","94 Años",11,23
"96","95 Años",9,22
"97","96 Años",8,14
"98","97 Años",11,11
"99","98 Años",5,8
"100","99 Años",3,5
"101","100 años y más",4,21
